date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes
2003-01-28;2003-01-30;Manifestation dans le cadre de la présentation du budget 2003 au Conseil d'administration du 39 janvier 2003;"CGT;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";24285.0;2279.0;9.4
2003-03-17;2003-03-19;Attaque du service public liée au désengagement de l'État et avec un budget 2003 qui pénalise l'emploi. Opposition à l'ouverture à la concurrence dans le fret, notamment dans le cadre du second paquet ferroviaire. Atteintes au statut, aux retraites et à la protection sociale que laissent supposer les orientations du projet de réforme du gouvernement. Refus de filialisation et privatisation. Refus du plan de casse des établissements sociaux.;"CGT;SUD;UNSA;CFDT;FO;CFTC;FGAAC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";128556.0;47312.0;36.8
2003-06-19;2003-06-20;Retraites, emplois et salaires, ouverture des négociations sur les salaires et les pensions.;"CGT;CFDT;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";131628.0;11171.0;8.5
2004-01-20;2004-01-22;Négociations salariales, efectifs, retrait plan Fret, droit de grève et service minimum.;"CGT;SUD;FO;FGAAC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";130420.0;38298.0;29.4
2004-05-25;2004-05-25;Revendications portant sur les personnels PS25 (référentiel ressources humaines).;SUD;"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";125964.0;261.0;0.2
2004-06-11;2004-06-14;Refus d'un repositionnement de la filière conduite qui tienne compte de l'évolution des conditions d'excercice du metier et permettant aux agent de conduite d'accéder à une position de rémunération plus haute, refus de la réforme des primes traction et de la création d'une prime de base garantie, refus plan fret.;SUD;conducteur;5761.0;173.0;3.0
2004-11-24;2004-11-26;Service public, fret, emploi, salaires, droit de grève.;"CGT;SUD;CFDT;FO;CFTC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";34823.0;2466.0;7.1
2005-01-18;2005-01-20;Emploi, politique salariale, conditions de travail, unicité de l'entreprise, moyens pour le développement du service public, plan fret.;"CGT;UNSA;CFDT;FO;CFTC;FGAAC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";120886.0;48643.0;40.2
2005-06-01;;Octroi de moyens pour développer le service public, développement de l'entreprise publique SNCF et ses activités Voyageurs et Fret, emplois statutaires pour répondre aux besoins et améliorer les conditions de travail, renfrocement du statut des cheminots, ouverture immédiate des négociations salariales et augmentation du pouvoir d'achat, maintien du droit de grève.;"CGT;UNSA;SUD;CFDT;FO;CFTC;CFE-CGC;FGAAC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";9580.0;1979.0;20.7
2005-06-03;;Abandon de circulation du premier train privé de fret, arrêt des atteintes au droit syndical, abandon de la filiate iDTGV.;"CGT;SUD;CFDT;FO";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";103525.0;942.0;0.9
2006-03-01;2006-03-03;Effectifs, cycles de maintenance, travaux de nuit, déroulement de carrière, sous-traitance.;"CGT;SUD";"agent de manoeuvre;infrastructure";6831.0;218.0;3.2
2006-06-13;2006-06-15;Projet centre d'excellence, effectif, emploi, salaires, charges de travail, sous traitance, conditions de travail;"CGT;UNSA;SUD;CFDT;FO";"agent de manoeuvre;ingénierie et maintenance du matériel roulant;régulation et circulation ferroviaire";10708.0;1372.0;12.8
2006-06-14;2006-06-14;Emploi, salaires, prime de travail, charges de travail, sous traitance, centre d'excellence, avenir des établissements, conditions de travail.;SUD;"agent de manoeuvre;ingénierie et maintenance du matériel roulant";10708.0;1372.0;12.8
2006-06-29;;Amélioration prime 50 euros sujétion CSS mensuelle non hiérarchisée - Mise en place d'un ratio de 15 à 20% de qualif F dans les CSS - Mise en place d'une véritable astreinte pour les régulateurs - Création d'une véritable position 19 pour les qualifications D - Sortie des attachés TS affectés à la régulation pour l'examen EV9;SUD;ingénierie et maintenance du matériel roulant;653.0;107.0;16.4
2006-11-07;2006-11-09;Fret SNCF, service public, emploi et le statut, salaires, restructurations, pouvoir d'achat, revendications spécifiques Traction;"CGT;SUD;FO;CFTC;CFE-CGC;FGAAC";"conducteur;agent de manoeuvre;chef de bord;accueil en gare et vente;logistique;ingénierie et maintenance du matériel roulant;sûreté ferroviaire;régulation et circulation ferroviaire;infrastructure";63805.0;18634.0;29.2
2006-11-22;2006-11-23;Arrêt immédiat des procédures disciplinaires, réintégration immédiate des agents révoqués, mise en place d'un système de distribution fiable.;FO;"agent de manoeuvre;accueil en gare et vente";5609.0;69.0;1.2
