Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0442024L;Ecole primaire Maison Neuve;ECOLE PRIMAIRE PUBLIQUE;MAISON NEUVE;Public;7 rue Eugénie Cotton;;;44300;NANTES;Nantes;358657.3;6694085.0;EPSG:2154;47.25919513489105;-1.5162698408737654;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2591951349,-1.51626984087;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1983-09-01
0440645M;Ecole élémentaire George Sand;ECOLE ELEMENTAIRE PUBLIQUE;GEORGE SAND;Public;83 rue des Renards;;;44300;NANTES;Nantes;354639.7;6694296.6;EPSG:2154;47.25901721538321;-1.5694702190280125;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2590172154,-1.56947021903;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440663G;Ecole élémentaire La Mutualité;ECOLE ELEMENTAIRE PUBLIQUE;MUTUALITE;Public;2 rue de la Mutualité;;;44100;NANTES;Nantes;352787.3;6688433.5;EPSG:2154;47.20535593918713;-1.5894206120523133;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2053559392,-1.58942061205;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440693P;Ecole maternelle Sarah Bernhardt;ECOLE MATERNELLE PUBLIQUE;SARAH BERNHARDT;Public;38 rue de la Ripossière;;;44200;NANTES;Nantes;356891.5;6686834.8;EPSG:2154;47.19312064301049;-1.5340795906553863;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.193120643,-1.53407959066;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440706D;Ecole maternelle Fellonneau;ECOLE MATERNELLE PUBLIQUE;FELLONNEAU;Public;15 rue Fellonneau;;;44000;NANTES;Nantes;355569.3;6691178.0;EPSG:2154;47.231471808228044;-1.5548204695636043;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2314718082,-1.55482046956;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440726A;Ecole maternelle Jean Zay 2;ECOLE MATERNELLE PUBLIQUE;JEAN ZAY GPE 2;Public;19 rue Yves Kartel;;;44100;NANTES;Nantes;351402.2;6688877.9;EPSG:2154;47.208624154288046;-1.608029667359223;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2086241543,-1.60802966736;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-09
0440727B;Ecole maternelle Alain Fournier;ECOLE MATERNELLE PUBLIQUE;ALAIN-FOURNIER;Public;87 rue du Bois Hardy;;;44100;NANTES;Nantes;351929.5;6688311.9;EPSG:2154;47.20381391728616;-1.6006397690773353;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2038139173,-1.60063976908;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-09
0441413X;Ecole primaire privée Le Sacré-Coeur;ECOLE PRIMAIRE PRIVEE;LE SACRE-COEUR;Privé;13 rue Giton;;;44100;NANTES;Nantes;353197.7;6689231.4;EPSG:2154;47.21274160686292;-1.584619830205974;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2127416069,-1.58461983021;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441485A;Ecole primaire privée Notre-Dame de Toutes Joies;ECOLE PRIMAIRE PRIVEE;N-D.DE TOUTES JOIES;Privé;42 boulevard Albert Thomas;;;44000;NANTES;Nantes;353891.0;6690401.3;EPSG:2154;47.223618003873476;-1.5763704759784947;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2236180039,-1.57637047598;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-22
0441668Z;Ecole maternelle Port Boyer;ECOLE MATERNELLE PUBLIQUE;PORT BOYER;Public;53 rue de l'Eraudiere;;;44300;NANTES;Nantes;356637.3;6692061.7;EPSG:2154;47.2399677324195;-1.5413995657798156;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2399677324,-1.54139956578;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-02-15
